segment_length,run_index,rank,births
20,1,0,""
20,2,0,""
20,3,0,""
20,4,0,""
20,5,0,""
20,6,0,""
20,7,0,""
20,8,0,""
20,9,0,""
20,10,0,""
20,11,0,""
20,12,0,""
20,13,0,""
20,14,0,""
20,15,0,""
20,16,0,""
20,17,0,""
20,18,0,""
20,19,0,""
20,20,0,""
40,1,0,""
40,2,0,""
40,3,0,""
40,4,0,""
40,5,0,""
40,6,0,""
40,7,0,""
40,8,0,""
40,9,0,""
40,10,0,""
40,11,0,""
40,12,0,""
40,13,0,""
40,14,0,""
40,15,0,""
40,16,0,""
40,17,0,""
40,18,0,""
40,19,0,""
40,20,0,""
60,1,1,"0.07936070139310004"
60,2,1,"0.2269524609530466"
60,3,1,"0.09688036816449583"
60,4,1,"0.09688036816449583"
60,5,1,"0.11610047640537624"
60,6,1,"0.2244245716396046"
60,7,1,"0.08816815810079708"
60,8,1,"0.2215339356336831"
60,9,1,"0.22148926548527767"
60,10,1,"0.10826801563523254"
60,11,1,"0.09688036816449583"
60,12,1,"0.08756347389127571"
60,13,1,"0.22210985824138665"
60,14,1,"0.13252925811944635"
60,15,1,"0.09688036816449583"
60,16,1,"0.222501124865761"
60,17,1,"0.09688036816449583"
60,18,1,"0.22146630605724865"
60,19,1,"0.10579434557241493"
60,20,1,"0.22288790712201892"
80,1,1,"0.09067543949627811"
80,2,1,"0.08869442985565863"
80,3,1,"0.09688036816449583"
80,4,1,"0.09675948783161434"
80,5,1,"0.09688036816449583"
80,6,1,"0.09688036816449583"
80,7,1,"0.08874082365825396"
80,8,1,"0.09688036816449583"
80,9,1,"0.08132243302855509"
80,10,1,"0.12321321809465274"
80,11,1,"0.09688036816449583"
80,12,1,"0.09578167216134248"
80,13,1,"0.09688036816449583"
80,14,1,"0.09688036816449583"
80,15,1,"0.09063183684911838"
80,16,1,"0.09063183684911838"
80,17,1,"0.12087039320503651"
80,18,1,"0.09239325262519446"
80,19,1,"0.16879916114372903"
80,20,1,"0.09656263143052855"
100,1,1,"0.09688036816449583"
100,2,1,"0.08997749973565715"
100,3,1,"0.09001072765842374"
100,4,1,"0.08980336271221348"
100,5,1,"0.09086022408521487"
100,6,1,"0.09688036816449583"
100,7,1,"0.09688036816449583"
100,8,1,"0.09688036816449583"
