-1.533917486667633057e-01 3.010274767875671387e-01 -2.394118905067443848e-01 5.923008322715759277e-01 6.784594655036926270e-01 2.023918926715850830e-02 5.560761317610740662e-02 1.155286580324172974e-01 -2.364502847194671631e-02
-1.409494131803512573e-01 3.068921566009521484e-01 -1.761510521173477173e-01 5.918715596199035645e-01 6.965434551239013672e-01 2.236822806298732758e-02 5.992441251873970032e-02 1.206483840942382812e-01 -2.809490263462066650e-02
-1.194481775164604187e-01 3.136915862560272217e-01 -9.078111499547958374e-02 5.882769823074340820e-01 7.146992087364196777e-01 2.560094930231571198e-02 6.569483131170272827e-02 1.268451958894729614e-01 -3.410021960735321045e-02
-9.375141561031341553e-02 3.191306293010711670e-01 -1.185688190162181854e-02 5.816190242767333984e-01 7.252944707870483398e-01 2.896781824529170990e-02 7.105872035026550293e-02 1.319960206747055054e-01 -3.976978734135627747e-02
-6.497515738010406494e-02 3.233937025070190430e-01 5.893030390143394470e-02 5.728835463523864746e-01 7.294733524322509766e-01 3.240222856402397156e-02 7.598543167114257812e-02 1.361779272556304932e-01 -4.502111300826072693e-02
-3.416869789361953735e-02 3.268510401248931885e-01 1.208027824759483337e-01 5.628923773765563965e-01 7.286005616188049316e-01 3.576686605811119080e-02 8.044264465570449829e-02 1.395322978496551514e-01 -4.981449991464614868e-02
-2.244489267468452454e-03 3.296912908554077148e-01 1.737516671419143677e-01 5.524720549583435059e-01 7.239392399787902832e-01 3.898990526795387268e-02 8.443366736173629761e-02 1.421849727630615234e-01 -5.412781983613967896e-02
2.971176430583000183e-02 3.321125209331512451e-01 2.176153510808944702e-01 5.423601269721984863e-01 7.166853547096252441e-01 4.200512170791625977e-02 8.797021210193634033e-02 1.442493796348571777e-01 -5.795318260788917542e-02
6.030519679188728333e-02 3.340236544609069824e-01 2.529015243053436279e-01 5.331845283508300781e-01 7.080022096633911133e-01 4.469588771462440491e-02 9.098814427852630615e-02 1.457959711551666260e-01 -6.120758876204490662e-02
9.046124666929244995e-02 3.357277214527130127e-01 2.817259728908538818e-01 5.248979330062866211e-01 6.982318162918090820e-01 4.711815342307090759e-02 9.363433718681335449e-02 1.469557732343673706e-01 -6.407088041305541992e-02
1.205810606479644775e-01 3.372038602828979492e-01 3.055886328220367432e-01 5.175012350082397461e-01 6.874740123748779297e-01 4.934876412153244019e-02 9.600727260112762451e-02 1.478127837181091309e-01 -6.663399189710617065e-02
1.493343412876129150e-01 3.384635150432586670e-01 3.239003419876098633e-01 5.114265084266662598e-01 6.765463352203369141e-01 5.123219266533851624e-02 9.798379242420196533e-02 1.483362615108489990e-01 -6.876724958419799805e-02
1.764073967933654785e-01 3.394493162631988525e-01 3.376090526580810547e-01 5.068327188491821289e-01 6.656290292739868164e-01 5.277398228645324707e-02 9.958423674106597900e-02 1.485358178615570068e-01 -7.048622518777847290e-02
2.017801702022552490e-01 3.402560055255889893e-01 3.473338484764099121e-01 5.036485195159912109e-01 6.549443602561950684e-01 5.394386872649192810e-02 1.008004620671272278e-01 1.484239548444747925e-01 -7.180120795965194702e-02
2.253205180168151855e-01 3.408234119415283203e-01 3.537604808807373047e-01 5.019224286079406738e-01 6.445802450180053711e-01 5.474294349551200867e-02 1.016365289688110352e-01 1.479937583208084106e-01 -7.269725948572158813e-02
2.469833642244338989e-01 3.411933481693267822e-01 3.573683202266693115e-01 5.016099214553833008e-01 6.346300840377807617e-01 5.516731366515159607e-02 1.020939126610755920e-01 1.472464054822921753e-01 -7.320014387369155884e-02
2.667685747146606445e-01 3.414313793182373047e-01 3.587404787540435791e-01 5.026286840438842773e-01 6.250705122947692871e-01 5.520705878734588623e-02 1.021625846624374390e-01 1.461499929428100586e-01 -7.328542321920394897e-02
2.847905158996582031e-01 3.414441347122192383e-01 3.582910001277923584e-01 5.048877000808715820e-01 6.159296035766601562e-01 5.487846955657005310e-02 1.018583178520202637e-01 1.447201222181320190e-01 -7.298143208026885986e-02
3.010527193546295166e-01 3.413251340389251709e-01 3.565233051776885986e-01 5.083163380622863770e-01 6.070927381515502930e-01 5.416063591837882996e-02 1.011493206024169922e-01 1.429042220115661621e-01 -7.226595282554626465e-02
3.155927658081054688e-01 3.409960567951202393e-01 3.539153635501861572e-01 5.127653479576110840e-01 5.985369682312011719e-01 5.308954045176506042e-02 1.000597327947616577e-01 1.407112032175064087e-01 -7.114631682634353638e-02
3.286857008934020996e-01 3.405203223228454590e-01 3.506405949592590332e-01 5.180917978286743164e-01 5.901951789855957031e-01 5.165314301848411560e-02 9.857694059610366821e-02 1.381234377622604370e-01 -6.964049488306045532e-02
3.403294086456298828e-01 3.398318290710449219e-01 3.472792208194732666e-01 5.241619348526000977e-01 5.819541215896606445e-01 4.985434561967849731e-02 9.668441861867904663e-02 1.350993961095809937e-01 -6.771934032440185547e-02
3.507288396358489990e-01 3.390183746814727783e-01 3.440386652946472168e-01 5.307956337928771973e-01 5.737154483795166016e-01 4.771558940410614014e-02 9.439779818058013916e-02 1.316528171300888062e-01 -6.541848182678222656e-02
3.600625991821289062e-01 3.378856182098388672e-01 3.413124680519104004e-01 5.378410816192626953e-01 5.654146671295166016e-01 4.526545107364654541e-02 9.172908216714859009e-02 1.277778744697570801e-01 -6.274433434009552002e-02
3.684593141078948975e-01 3.366448283195495605e-01 3.392917811870574951e-01 5.451027154922485352e-01 5.569361448287963867e-01 4.249063506722450256e-02 8.866532146930694580e-02 1.234612315893173218e-01 -5.970369279384613037e-02
3.761548995971679688e-01 3.351809978485107422e-01 3.382451534271240234e-01 5.523745417594909668e-01 5.482302904129028320e-01 3.942498192191123962e-02 8.521773666143417358e-02 1.187039464712142944e-01 -5.630512163043022156e-02
3.832618296146392822e-01 3.335196971893310547e-01 3.385025262832641602e-01 5.594903230667114258e-01 5.391563773155212402e-01 3.608270362019538879e-02 8.139450103044509888e-02 1.135021820664405823e-01 -5.255674570798873901e-02
3.900206983089447021e-01 3.317089676856994629e-01 3.400755226612091064e-01 5.662469267845153809e-01 5.296699404716491699e-01 3.250775858759880066e-02 7.722987234592437744e-02 1.078934744000434875e-01 -4.851368814706802368e-02
3.965328037738800049e-01 3.297733664512634277e-01 3.432411253452301025e-01 5.724177956581115723e-01 5.197079777717590332e-01 2.869274094700813293e-02 7.271468639373779297e-02 1.018705815076828003e-01 -4.415827617049217224e-02
4.029978811740875244e-01 3.277366459369659424e-01 3.479764461517333984e-01 5.778500437736511230e-01 5.092005729675292969e-01 2.469985000789165497e-02 6.789540499448776245e-02 9.547292441129684448e-02 -3.953324258327484131e-02
4.095582365989685059e-01 3.257119953632354736e-01 3.543150126934051514e-01 5.823321938514709473e-01 4.980825185775756836e-01 2.054232731461524963e-02 6.278752535581588745e-02 8.872416615486145020e-02 -3.466283902525901794e-02
4.162678718566894531e-01 3.237528502941131592e-01 3.622826933860778809e-01 5.857014656066894531e-01 4.863205552101135254e-01 1.625088043510913849e-02 5.741783231496810913e-02 8.165308088064193726e-02 -2.957175672054290771e-02
4.232472181320190430e-01 3.220036327838897705e-01 3.716722428798675537e-01 5.878002643585205078e-01 4.739054739475250244e-01 1.187888160347938538e-02 5.183238536119461060e-02 7.431329786777496338e-02 -2.428175508975982666e-02
4.305582940578460693e-01 3.205157220363616943e-01 3.824454545974731445e-01 5.884836316108703613e-01 4.607889950275421143e-01 7.440240122377872467e-03 4.605643451213836670e-02 6.673692166805267334e-02 -1.883788779377937317e-02
4.381972849369049072e-01 3.194177448749542236e-01 3.942997753620147705e-01 5.876845717430114746e-01 4.470302462577819824e-01 2.992334309965372086e-03 4.013867676258087158e-02 5.897729098796844482e-02 -1.325419452041387558e-02
4.462309777736663818e-01 3.188899755477905273e-01 4.070357680320739746e-01 5.852527022361755371e-01 4.326131343841552734e-01 -1.438090694136917591e-03 3.412113711237907410e-02 5.109179019927978516e-02 -7.571385242044925690e-03
4.546171724796295166e-01 3.190127909183502197e-01 4.202387630939483643e-01 5.812481641769409180e-01 4.176385104656219482e-01 -5.823366343975067139e-03 2.803388424217700958e-02 4.311652854084968567e-02 -1.798190525732934475e-03
4.633351266384124756e-01 3.199581503868103027e-01 4.336239695549011230e-01 5.756322145462036133e-01 4.021599292755126953e-01 -1.011902280151844025e-02 2.193481847643852234e-02 3.511069342494010925e-02 4.042055457830429077e-03
4.723482728004455566e-01 3.218014538288116455e-01 4.469026029109954834e-01 5.684199929237365723e-01 3.862881660461425781e-01 -1.431320235133171082e-02 1.584230363368988037e-02 2.711047232151031494e-02 9.921690449118614197e-03
4.817011952400207520e-01 3.248327672481536865e-01 4.594583511352539062e-01 5.597308278083801270e-01 3.701287806034088135e-01 -1.838007941842079163e-02 9.796343743801116943e-03 1.915184222161769867e-02 1.585060171782970428e-02
4.913623332977294922e-01 3.290077745914459229e-01 4.710282981395721436e-01 5.496662259101867676e-01 3.538368940353393555e-01 -2.231388725340366364e-02 3.815224627032876015e-03 1.125711575150489807e-02 2.183126658201217651e-02
5.013242363929748535e-01 3.345573544502258301e-01 4.812353253364562988e-01 5.383124947547912598e-01 3.374921977519989014e-01 -2.612105756998062134e-02 -2.099341247230768204e-03 3.420747118070721626e-03 2.789720892906188965e-02
5.116782188415527344e-01 3.416783213615417480e-01 4.895487725734710693e-01 5.257792472839355469e-01 3.212616741657257080e-01 -2.980196475982666016e-02 -7.942809723317623138e-03 -4.352671094238758087e-03 3.406214714050292969e-02
5.224421620368957520e-01 3.504362106323242188e-01 4.956657290458679199e-01 5.121820569038391113e-01 3.052095472812652588e-01 -3.337996080517768860e-02 -1.373277138918638229e-02 -1.210721954703330994e-02 4.039034247398376465e-02
5.337445139884948730e-01 3.610862493515014648e-01 4.990184307098388672e-01 4.975909888744354248e-01 2.894382178783416748e-01 -3.689048811793327332e-02 -1.950638554990291595e-02 -1.989444345235824585e-02 4.696496576070785522e-02
5.456877350807189941e-01 3.736940622329711914e-01 4.992349445819854736e-01 4.819963872432708740e-01 2.740066349506378174e-01 -4.036180302500724792e-02 -2.530215121805667877e-02 -2.778117731213569641e-02 5.385896563529968262e-02
5.583368539810180664e-01 3.885513544082641602e-01 4.957617819309234619e-01 4.653579294681549072e-01 2.588893175125122070e-01 -4.384631291031837463e-02 -3.118243627250194550e-02 -3.587567806243896484e-02 6.119135394692420959e-02
5.718636512756347656e-01 4.058336317539215088e-01 4.878692328929901123e-01 4.475605785846710205e-01 2.440761178731918335e-01 -4.740004241466522217e-02 -3.723223134875297546e-02 -4.429597407579421997e-02 6.910806894302368164e-02
5.862978696823120117e-01 4.257564842700958252e-01 4.747636914253234863e-01 4.284248948097229004e-01 2.294917702674865723e-01 -5.105546489357948303e-02 -4.351110011339187622e-02 -5.317526310682296753e-02 7.774146646261215210e-02
6.015329360961914062e-01 4.484331309795379639e-01 4.557738304138183594e-01 4.075108468532562256e-01 2.149492800235748291e-01 -5.488082766532897949e-02 -5.012571066617965698e-02 -6.267736107110977173e-02 8.726325631141662598e-02
6.174010038375854492e-01 4.739477038383483887e-01 4.296449720859527588e-01 3.845074176788330078e-01 2.002822309732437134e-01 -5.890493467450141907e-02 -5.715861171483993530e-02 -7.295947521924972534e-02 9.785609692335128784e-02
6.334890127182006836e-01 5.022068023681640625e-01 3.952027261257171631e-01 3.588002324104309082e-01 1.851321607828140259e-01 -6.314995139837265015e-02 -6.467482447624206543e-02 -8.418907225131988525e-02 1.096573099493980408e-01
6.488963365554809570e-01 5.327154397964477539e-01 3.514165282249450684e-01 3.298447430133819580e-01 1.692136079072952271e-01 -6.757356971502304077e-02 -7.269610464572906494e-02 -9.644480794668197632e-02 1.227637603878974915e-01
6.623631119728088379e-01 5.647500157356262207e-01 2.971355020999908447e-01 2.970729768276214600e-01 1.520837545394897461e-01 -7.212043553590774536e-02 -8.119054883718490601e-02 -1.097712740302085876e-01 1.371794641017913818e-01
6.722363233566284180e-01 5.967793464660644531e-01 2.319039702415466309e-01 2.601318955421447754e-01 1.334387660026550293e-01 -7.662438601255416870e-02 -9.002048522233963013e-02 -1.240649744868278503e-01 1.527467668056488037e-01
6.763132810592651367e-01 6.269445419311523438e-01 1.563045382499694824e-01 2.192583531141281128e-01 1.130004823207855225e-01 -8.088341355323791504e-02 -9.894555062055587769e-02 -1.390417069196701050e-01 1.691197156906127930e-01
6.727317571640014648e-01 6.528589725494384766e-01 7.238038629293441772e-02 1.751527190208435059e-01 9.085775166749954224e-02 -8.461375534534454346e-02 -1.075988560914993286e-01 -1.542617678642272949e-01 1.857440620660781860e-01
6.600018143653869629e-01 6.725303530693054199e-01 -1.618032157421112061e-02 1.296233683824539185e-01 6.725519895553588867e-02 -8.759326487779617310e-02 -1.156480833888053894e-01 -1.692420244216918945e-01 2.020475864410400391e-01
6.380479931831359863e-01 6.846826672554016113e-01 -1.043412387371063232e-01 8.498527109622955322e-02 4.281275719404220581e-02 -8.969054371118545532e-02 -1.228261590003967285e-01 -1.835642904043197632e-01 2.175669074058532715e-01
6.080828309059143066e-01 6.894403696060180664e-01 -1.870906352996826172e-01 4.382520914077758789e-02 1.833969354629516602e-02 -9.092804789543151855e-02 -1.290674060583114624e-01 -1.970956623554229736e-01 2.321083843708038330e-01
5.727270245552062988e-01 6.881218552589416504e-01 -2.595531046390533447e-01 8.735428564250469208e-03 -5.438683088868856430e-03 -9.151375293731689453e-02 -1.345370858907699585e-01 -2.099470943212509155e-01 2.458570152521133423e-01
5.356187820434570312e-01 6.831887364387512207e-01 -3.176500499248504639e-01 -1.828144863247871399e-02 -2.750403992831707001e-02 -9.174741059541702271e-02 -1.394652128219604492e-01 -2.222899794578552246e-01 2.590222358703613281e-01
4.999878704547882080e-01 6.770550012588500977e-01 -3.604421615600585938e-01 -3.671214729547500610e-02 -4.742564633488655090e-02 -9.190946072340011597e-02 -1.441379487514495850e-01 -2.343592643737792969e-01 2.719297409057617188e-01
4.665415585041046143e-01 6.711794137954711914e-01 -3.901459276676177979e-01 -4.761774092912673950e-02 -6.582524627447128296e-02 -9.224124997854232788e-02 -1.489822119474411011e-01 -2.468404322862625122e-01 2.853216528892517090e-01
4.329203963279724121e-01 6.662539243698120117e-01 -4.094069004058837891e-01 -5.196116492152214050e-02 -8.449640125036239624e-02 -9.291026741266250610e-02 -1.546399742364883423e-01 -2.611769139766693115e-01 3.007870018482208252e-01
3.980383872985839844e-01 6.626348495483398438e-01 -4.171330630779266357e-01 -4.864950478076934814e-02 -1.046774238348007202e-01 -9.413557499647140503e-02 -1.617948710918426514e-01 -2.788498103618621826e-01 3.199373185634613037e-01
3.621160387992858887e-01 6.609127521514892578e-01 -4.101187288761138916e-01 -3.587248548865318298e-02 -1.265886276960372925e-01 -9.605146199464797974e-02 -1.707282513380050659e-01 -3.004195392131805420e-01 3.434115052223205566e-01
3.251015841960906982e-01 6.605517268180847168e-01 -3.857395946979522705e-01 -1.237409189343452454e-02 -1.500254273414611816e-01 -9.866458177566528320e-02 -1.814260929822921753e-01 -3.258009850978851318e-01 3.711176514625549316e-01
2.865205407142639160e-01 6.597095727920532227e-01 -3.414570391178131104e-01 2.239694818854331970e-02 -1.747272759675979614e-01 -1.017332300543785095e-01 -1.934695690870285034e-01 -3.542691767215728760e-01 4.022168219089508057e-01
2.444336116313934326e-01 6.550586223602294922e-01 -2.755251526832580566e-01 6.864390522241592407e-02 -2.000972181558609009e-01 -1.048513427376747131e-01 -2.060970515012741089e-01 -3.843662440776824951e-01 4.350612461566925049e-01
1.976532787084579468e-01 6.420322656631469727e-01 -1.870476901531219482e-01 1.251793354749679565e-01 -2.247932553291320801e-01 -1.073203384876251221e-01 -2.178840041160583496e-01 -4.133465886116027832e-01 4.665753841400146484e-01
1.459989398717880249e-01 6.160759925842285156e-01 -7.910278439521789551e-02 1.884076446294784546e-01 -2.464974522590637207e-01 -1.082960441708564758e-01 -2.268754988908767700e-01 -4.371793866157531738e-01 4.922323822975158691e-01
9.119200706481933594e-02 5.747482180595397949e-01 4.019988700747489929e-02 2.525541484355926514e-01 -2.627366483211517334e-01 -1.071064248681068420e-01 -2.312373518943786621e-01 -4.519144296646118164e-01 5.076900124549865723e-01
3.672740235924720764e-02 5.199141502380371094e-01 1.593782007694244385e-01 3.108962774276733398e-01 -2.720907628536224365e-01 -1.036251708865165710e-01 -2.302239239215850830e-01 -4.555910825729370117e-01 5.108274817466735840e-01
-1.393264159560203552e-02 4.568687677383422852e-01 2.672924995422363281e-01 3.590274751186370850e-01 -2.750026583671569824e-01 -9.843146800994873047e-02 -2.246431857347488403e-01 -4.493628740310668945e-01 5.030149221420288086e-01
